SampleID,EnvironmentType,GramPositiveCount,GramNegativeCount,TotalCount,ProportionGramPositive,ProportionGramNegative
S73,Air,86,118,204,0.4215686274509804,0.5784313725490197
S74,Air,104,67,171,0.6081871345029239,0.391812865497076
S75,Water,66,111,177,0.3728813559322034,0.6271186440677966
S76,Soil,84,63,147,0.5714285714285714,0.42857142857142855
S77,Plant,40,56,96,0.4166666666666667,0.5833333333333334
S78,Soil,99,124,223,0.4439461883408072,0.5560538116591929
S79,Plant,97,103,200,0.485,0.515
S80,Water,47,94,141,0.3333333333333333,0.6666666666666666
S81,Air,94,107,201,0.46766169154228854,0.5323383084577115
S82,Plant,115,105,220,0.5227272727272727,0.4772727272727273
S83,Soil,141,109,250,0.564,0.436
S84,Plant,73,99,172,0.42441860465116277,0.5755813953488372
S85,Plant,45,135,180,0.25,0.75
S86,Air,96,122,218,0.44036697247706424,0.5596330275229358
S87,Soil,154,92,246,0.6260162601626016,0.37398373983739835
S88,Air,90,99,189,0.47619047619047616,0.5238095238095238
S89,Air,86,103,189,0.455026455026455,0.544973544973545
S90,Plant,133,119,252,0.5277777777777778,0.4722222222222222
S91,Air,89,76,165,0.5393939393939394,0.46060606060606063
S92,Water,89,88,177,0.5028248587570622,0.4971751412429379
S93,Air,80,80,160,0.5,0.5
S94,Plant,103,92,195,0.5282051282051282,0.4717948717948718
S95,Water,99,85,184,0.5380434782608695,0.46195652173913043
S96,Air,105,72,177,0.5932203389830508,0.4067796610169492
S97,Water,103,136,239,0.4309623430962343,0.5690376569037657
S98,Plant,53,119,172,0.3081395348837209,0.6918604651162791
S99,Soil,119,104,223,0.5336322869955157,0.4663677130044843
S100,Soil,58,73,131,0.44274809160305345,0.5572519083969466
S101,Water,91,110,201,0.4527363184079602,0.5472636815920398
S102,Soil,138,145,283,0.4876325088339223,0.5123674911660777
S103,Plant,118,133,251,0.4701195219123506,0.5298804780876494
S104,Water,146,94,240,0.6083333333333333,0.39166666666666666
S105,Water,86,106,192,0.4479166666666667,0.5520833333333334
S106,Air,83,125,208,0.39903846153846156,0.6009615384615384
S107,Soil,135,117,252,0.5357142857142857,0.4642857142857143
S108,Water,105,93,198,0.5303030303030303,0.4696969696969697
S109,Water,162,97,259,0.6254826254826255,0.3745173745173745
S110,Soil,72,122,194,0.3711340206185567,0.6288659793814433
S111,Soil,122,68,190,0.6421052631578947,0.35789473684210527
S112,Air,119,93,212,0.5613207547169812,0.4386792452830189
S113,Water,136,122,258,0.5271317829457365,0.4728682170542636
S114,Plant,119,36,155,0.7677419354838709,0.23225806451612904
S115,Air,121,116,237,0.510548523206751,0.48945147679324896
S116,Air,105,92,197,0.5329949238578681,0.467005076142132
S117,Air,130,99,229,0.5676855895196506,0.43231441048034935
S118,Water,86,77,163,0.5276073619631901,0.4723926380368098
S119,Water,128,79,207,0.6183574879227053,0.38164251207729466
S120,Air,157,80,237,0.6624472573839663,0.33755274261603374
S121,Water,79,98,177,0.4463276836158192,0.5536723163841808
S122,Plant,122,51,173,0.7052023121387283,0.2947976878612717
S123,Air,113,63,176,0.6420454545454546,0.35795454545454547
S124,Air,72,90,162,0.4444444444444444,0.5555555555555556
S125,Air,103,132,235,0.43829787234042555,0.5617021276595745
S126,Air,127,85,212,0.5990566037735849,0.4009433962264151
S127,Soil,123,96,219,0.5616438356164384,0.4383561643835616
S128,Plant,74,93,167,0.4431137724550898,0.5568862275449101
S129,Plant,108,49,157,0.6878980891719745,0.31210191082802546
S130,Water,114,117,231,0.4935064935064935,0.5064935064935064
S131,Air,128,109,237,0.540084388185654,0.459915611814346
S132,Plant,102,83,185,0.5513513513513514,0.4486486486486487
S133,Plant,83,93,176,0.4715909090909091,0.5284090909090909
S134,Air,134,104,238,0.5630252100840336,0.4369747899159664
S135,Water,68,111,179,0.37988826815642457,0.6201117318435754
S136,Plant,81,80,161,0.5031055900621118,0.4968944099378882
S137,Soil,123,82,205,0.6,0.4
S138,Plant,110,71,181,0.6077348066298343,0.39226519337016574
S139,Air,105,65,170,0.6176470588235294,0.38235294117647056
S140,Plant,76,91,167,0.4550898203592814,0.5449101796407185
S141,Water,128,89,217,0.5898617511520737,0.41013824884792627
S142,Water,117,117,234,0.5,0.5
S143,Plant,159,77,236,0.673728813559322,0.326271186440678
S144,Plant,121,88,209,0.5789473684210527,0.42105263157894735
S145,Air,58,121,179,0.3240223463687151,0.6759776536312849
S146,Soil,103,136,239,0.4309623430962343,0.5690376569037657
S147,Air,97,89,186,0.521505376344086,0.478494623655914
S148,Water,95,141,236,0.4025423728813559,0.597457627118644
S149,Air,94,89,183,0.5136612021857924,0.48633879781420764
S150,Water,105,117,222,0.47297297297297297,0.527027027027027
S151,Soil,78,120,198,0.3939393939393939,0.6060606060606061
S152,Water,52,64,116,0.4482758620689655,0.5517241379310345
S153,Soil,112,141,253,0.4426877470355731,0.5573122529644269
S154,Water,133,79,212,0.6273584905660378,0.37264150943396224
S155,Plant,114,94,208,0.5480769230769231,0.4519230769230769
S156,Plant,109,69,178,0.6123595505617978,0.38764044943820225
S157,Air,77,128,205,0.375609756097561,0.624390243902439
S158,Air,126,99,225,0.56,0.44
S159,Soil,41,91,132,0.3106060606060606,0.6893939393939394
S160,Water,161,131,292,0.5513698630136986,0.4486301369863014
S161,Water,83,46,129,0.6434108527131783,0.35658914728682173
S162,Water,121,128,249,0.4859437751004016,0.5140562248995983
S163,Soil,86,114,200,0.43,0.57
S164,Air,103,101,204,0.5049019607843137,0.4950980392156863
S165,Water,90,101,191,0.4712041884816754,0.5287958115183246
S166,Water,40,91,131,0.3053435114503817,0.6946564885496184
S167,Air,119,62,181,0.6574585635359116,0.3425414364640884
S168,Soil,68,99,167,0.40718562874251496,0.592814371257485
S169,Plant,66,80,146,0.4520547945205479,0.547945205479452
S170,Air,85,130,215,0.3953488372093023,0.6046511627906976
S171,Water,91,86,177,0.5141242937853108,0.4858757062146893
S172,Plant,111,126,237,0.46835443037974683,0.5316455696202531
S173,Soil,85,71,156,0.5448717948717948,0.4551282051282051
S174,Water,180,71,251,0.7171314741035857,0.28286852589641437
S175,Soil,54,53,107,0.5046728971962616,0.4953271028037383
S176,Plant,90,78,168,0.5357142857142857,0.4642857142857143
S177,Soil,115,86,201,0.572139303482587,0.42786069651741293
S178,Air,133,97,230,0.5782608695652174,0.4217391304347826
S179,Soil,119,62,181,0.6574585635359116,0.3425414364640884
S180,Air,125,129,254,0.4921259842519685,0.5078740157480315
S181,Air,79,50,129,0.6124031007751938,0.3875968992248062
S182,Plant,118,84,202,0.5841584158415841,0.4158415841584158
S183,Soil,139,108,247,0.562753036437247,0.43724696356275305
S184,Plant,115,102,217,0.5299539170506913,0.4700460829493088
S185,Water,172,44,216,0.7962962962962963,0.2037037037037037
S186,Soil,98,121,219,0.4474885844748858,0.5525114155251142
S187,Soil,90,156,246,0.36585365853658536,0.6341463414634146
S188,Air,48,106,154,0.3116883116883117,0.6883116883116883
S189,Soil,87,82,169,0.514792899408284,0.48520710059171596
S190,Soil,115,101,216,0.5324074074074074,0.4675925925925926
S191,Air,127,70,197,0.6446700507614214,0.3553299492385787
S192,Soil,142,69,211,0.6729857819905213,0.32701421800947866
S193,Soil,107,120,227,0.4713656387665198,0.5286343612334802
S194,Water,83,137,220,0.37727272727272726,0.6227272727272727
S195,Soil,60,82,142,0.4225352112676056,0.5774647887323944
S196,Soil,95,112,207,0.45893719806763283,0.5410628019323671
S197,Soil,69,95,164,0.42073170731707316,0.5792682926829268
S198,Plant,94,123,217,0.43317972350230416,0.5668202764976958
S199,Air,58,76,134,0.43283582089552236,0.5671641791044776
S200,Plant,89,46,135,0.6592592592592592,0.34074074074074073
S201,Water,81,103,184,0.44021739130434784,0.5597826086956522
S202,Water,131,138,269,0.48698884758364314,0.5130111524163569
S203,Soil,65,51,116,0.5603448275862069,0.4396551724137931
S204,Plant,49,71,120,0.4083333333333333,0.5916666666666667
S205,Plant,124,92,216,0.5740740740740741,0.42592592592592593
S206,Water,145,115,260,0.5576923076923077,0.4423076923076923
S207,Plant,123,99,222,0.5540540540540541,0.44594594594594594
S208,Plant,96,118,214,0.4485981308411215,0.5514018691588785
S209,Soil,74,71,145,0.5103448275862069,0.4896551724137931
S210,Air,94,100,194,0.4845360824742268,0.5154639175257731
S211,Plant,88,65,153,0.5751633986928104,0.42483660130718953
S212,Soil,64,71,135,0.4740740740740741,0.5259259259259259
S213,Soil,100,47,147,0.6802721088435374,0.3197278911564626
S214,Water,139,144,283,0.4911660777385159,0.508833922261484
S215,Plant,126,125,251,0.50199203187251,0.49800796812749004
S216,Air,111,75,186,0.5967741935483871,0.4032258064516129
S217,Water,98,64,162,0.6049382716049383,0.3950617283950617
S218,Air,71,141,212,0.33490566037735847,0.6650943396226415
S219,Water,133,80,213,0.6244131455399061,0.3755868544600939
S220,Soil,57,97,154,0.37012987012987014,0.6298701298701299
S221,Air,36,164,200,0.18,0.82
S222,Water,98,173,271,0.36162361623616235,0.6383763837638377
S223,Air,87,125,212,0.41037735849056606,0.589622641509434
S224,Water,89,63,152,0.5855263157894737,0.4144736842105263
S225,Plant,122,54,176,0.6931818181818182,0.3068181818181818
S226,Soil,116,67,183,0.6338797814207651,0.366120218579235
S227,Air,120,84,204,0.5882352941176471,0.4117647058823529
S228,Air,133,103,236,0.5635593220338984,0.4364406779661017
S229,Water,62,141,203,0.3054187192118227,0.6945812807881774
S230,Air,152,71,223,0.6816143497757847,0.3183856502242152
S231,Water,74,99,173,0.4277456647398844,0.5722543352601156
S232,Soil,109,100,209,0.5215311004784688,0.4784688995215311
S233,Plant,156,85,241,0.6473029045643154,0.35269709543568467
S234,Air,149,117,266,0.5601503759398496,0.4398496240601504
S235,Water,142,81,223,0.6367713004484304,0.3632286995515695
S236,Water,99,48,147,0.673469387755102,0.32653061224489793
S237,Plant,56,83,139,0.4028776978417266,0.5971223021582733
S238,Water,68,95,163,0.4171779141104294,0.5828220858895705
S239,Plant,90,134,224,0.4017857142857143,0.5982142857142857
S240,Plant,79,118,197,0.4010152284263959,0.5989847715736041
S241,Plant,78,117,195,0.4,0.6
S242,Water,93,113,206,0.45145631067961167,0.5485436893203883
S243,Water,81,77,158,0.5126582278481012,0.4873417721518987
S244,Air,85,98,183,0.4644808743169399,0.5355191256830601
S245,Plant,103,97,200,0.515,0.485
S246,Air,70,39,109,0.6422018348623854,0.3577981651376147
S247,Plant,122,95,217,0.5622119815668203,0.4377880184331797
S248,Plant,128,112,240,0.5333333333333333,0.4666666666666667
S249,Air,86,106,192,0.4479166666666667,0.5520833333333334
S250,Water,100,142,242,0.4132231404958678,0.5867768595041323
S251,Water,146,119,265,0.5509433962264151,0.4490566037735849
S252,Plant,124,146,270,0.45925925925925926,0.5407407407407407
S253,Air,149,56,205,0.7268292682926829,0.2731707317073171
S254,Air,123,121,244,0.5040983606557377,0.4959016393442623
S255,Plant,131,102,233,0.5622317596566524,0.43776824034334766
S256,Soil,83,98,181,0.4585635359116022,0.5414364640883977
S257,Soil,99,93,192,0.515625,0.484375
S258,Air,77,95,172,0.4476744186046512,0.5523255813953488
S259,Plant,103,84,187,0.5508021390374331,0.44919786096256686
S260,Air,116,110,226,0.5132743362831859,0.48672566371681414
S261,Water,107,109,216,0.49537037037037035,0.5046296296296297
S262,Plant,55,42,97,0.5670103092783505,0.4329896907216495
S263,Plant,76,32,108,0.7037037037037037,0.2962962962962963
S264,Air,65,116,181,0.35911602209944754,0.6408839779005525
S265,Air,109,80,189,0.5767195767195767,0.42328042328042326
S266,Water,88,92,180,0.4888888888888889,0.5111111111111111
S267,Air,108,91,199,0.542713567839196,0.457286432160804
S268,Water,38,126,164,0.23170731707317074,0.7682926829268293
S269,Plant,103,139,242,0.4256198347107438,0.5743801652892562
S270,Air,69,67,136,0.5073529411764706,0.49264705882352944
S271,Air,121,121,242,0.5,0.5
S272,Air,123,70,193,0.6373056994818653,0.3626943005181347
S273,Plant,117,151,268,0.43656716417910446,0.5634328358208955
S274,Water,128,119,247,0.5182186234817814,0.4817813765182186
S275,Air,124,62,186,0.6666666666666666,0.3333333333333333
S276,Plant,84,69,153,0.5490196078431373,0.45098039215686275
S277,Soil,57,64,121,0.47107438016528924,0.5289256198347108
S278,Soil,121,78,199,0.6080402010050251,0.39195979899497485
S279,Air,110,102,212,0.5188679245283019,0.4811320754716981
S280,Air,32,120,152,0.21052631578947367,0.7894736842105263
S281,Soil,49,127,176,0.2784090909090909,0.7215909090909091
S282,Soil,61,96,157,0.3885350318471338,0.6114649681528662
S283,Water,98,91,189,0.5185185185185185,0.48148148148148145
S284,Soil,58,63,121,0.4793388429752066,0.5206611570247934
S285,Soil,120,98,218,0.5504587155963303,0.44954128440366975
S286,Soil,85,72,157,0.5414012738853503,0.4585987261146497
S287,Water,146,125,271,0.5387453874538746,0.4612546125461255
S288,Plant,113,136,249,0.4538152610441767,0.5461847389558233
S289,Water,96,127,223,0.4304932735426009,0.5695067264573991
S290,Water,113,97,210,0.5380952380952381,0.46190476190476193
S291,Water,72,132,204,0.35294117647058826,0.6470588235294118
S292,Soil,143,77,220,0.65,0.35
S293,Water,132,154,286,0.46153846153846156,0.5384615384615384
S294,Air,107,113,220,0.4863636363636364,0.5136363636363637
S295,Air,158,99,257,0.6147859922178989,0.3852140077821012
S296,Soil,56,93,149,0.37583892617449666,0.6241610738255033
S297,Plant,124,117,241,0.5145228215767634,0.4854771784232365
S298,Plant,136,125,261,0.5210727969348659,0.4789272030651341
S299,Soil,115,57,172,0.6686046511627907,0.3313953488372093
S300,Air,95,142,237,0.4008438818565401,0.5991561181434599
S301,Soil,38,46,84,0.4523809523809524,0.5476190476190477
S302,Air,133,110,243,0.5473251028806584,0.45267489711934156
S303,Air,87,60,147,0.5918367346938775,0.40816326530612246
S304,Air,98,122,220,0.44545454545454544,0.5545454545454546
S305,Air,130,101,231,0.5627705627705628,0.43722943722943725
S306,Plant,130,158,288,0.4513888888888889,0.5486111111111112
S307,Water,65,130,195,0.3333333333333333,0.6666666666666666
S308,Water,70,60,130,0.5384615384615384,0.46153846153846156
S309,Air,79,126,205,0.3853658536585366,0.6146341463414634
S310,Water,121,95,216,0.5601851851851852,0.4398148148148148
S311,Water,132,89,221,0.5972850678733032,0.40271493212669685
S312,Water,115,97,212,0.5424528301886793,0.45754716981132076
S313,Plant,87,89,176,0.4943181818181818,0.5056818181818182
S314,Plant,96,56,152,0.631578947368421,0.3684210526315789
S315,Water,142,104,246,0.5772357723577236,0.42276422764227645
S316,Plant,66,58,124,0.532258064516129,0.46774193548387094
S317,Soil,123,134,257,0.4785992217898833,0.5214007782101168
S318,Water,97,131,228,0.42543859649122806,0.5745614035087719
S319,Soil,115,72,187,0.6149732620320856,0.3850267379679144
S320,Water,101,36,137,0.7372262773722628,0.26277372262773724
S321,Air,131,89,220,0.5954545454545455,0.40454545454545454
S322,Air,116,81,197,0.5888324873096447,0.41116751269035534
S323,Air,102,46,148,0.6891891891891891,0.3108108108108108
S324,Water,168,112,280,0.6,0.4
S325,Air,138,79,217,0.6359447004608295,0.3640552995391705
S326,Plant,108,118,226,0.4778761061946903,0.5221238938053098
S327,Air,123,68,191,0.643979057591623,0.35602094240837695
S328,Water,104,110,214,0.48598130841121495,0.514018691588785
S329,Air,79,122,201,0.39303482587064675,0.6069651741293532
S330,Plant,48,96,144,0.3333333333333333,0.6666666666666666
S331,Soil,162,98,260,0.6230769230769231,0.3769230769230769
S332,Plant,87,92,179,0.4860335195530726,0.5139664804469274
S333,Water,118,81,199,0.592964824120603,0.40703517587939697
S334,Water,138,151,289,0.47750865051903113,0.5224913494809689
S335,Soil,87,121,208,0.4182692307692308,0.5817307692307693
S336,Water,92,107,199,0.4623115577889447,0.5376884422110553
S337,Soil,116,156,272,0.4264705882352941,0.5735294117647058
S338,Plant,116,77,193,0.6010362694300518,0.39896373056994816
S339,Air,101,105,206,0.49029126213592233,0.5097087378640777
S340,Soil,68,72,140,0.4857142857142857,0.5142857142857142
S341,Water,139,113,252,0.5515873015873016,0.44841269841269843
S342,Water,123,101,224,0.5491071428571429,0.45089285714285715
S343,Plant,105,98,203,0.5172413793103449,0.4827586206896552
S344,Soil,124,63,187,0.6631016042780749,0.33689839572192515
S345,Soil,3,76,79,0.0379746835443038,0.9620253164556962
S346,Soil,102,81,183,0.5573770491803278,0.4426229508196721
S347,Air,87,31,118,0.7372881355932204,0.2627118644067797
S348,Air,41,92,133,0.3082706766917293,0.6917293233082706
S349,Water,116,98,214,0.5420560747663551,0.45794392523364486
S350,Air,70,79,149,0.4697986577181208,0.5302013422818792
S351,Air,142,108,250,0.568,0.432
S352,Soil,96,151,247,0.38866396761133604,0.611336032388664
S353,Water,120,73,193,0.6217616580310881,0.37823834196891193
S354,Soil,83,105,188,0.44148936170212766,0.5585106382978723
S355,Water,125,69,194,0.6443298969072165,0.3556701030927835
S356,Air,143,47,190,0.7526315789473684,0.24736842105263157
S357,Air,53,87,140,0.37857142857142856,0.6214285714285714
S358,Plant,119,109,228,0.5219298245614035,0.4780701754385965
S359,Plant,51,175,226,0.22566371681415928,0.7743362831858407
S360,Air,97,75,172,0.563953488372093,0.436046511627907
S361,Plant,108,92,200,0.54,0.46
S362,Soil,67,78,145,0.46206896551724136,0.5379310344827586
S363,Water,90,164,254,0.3543307086614173,0.6456692913385826
S364,Soil,145,126,271,0.5350553505535055,0.46494464944649444
S365,Soil,127,103,230,0.5521739130434783,0.44782608695652176
S366,Plant,131,84,215,0.6093023255813953,0.39069767441860465
S367,Soil,149,156,305,0.4885245901639344,0.5114754098360655
S368,Plant,91,67,158,0.5759493670886076,0.4240506329113924
S369,Air,130,66,196,0.6632653061224489,0.336734693877551
S370,Water,82,66,148,0.5540540540540541,0.44594594594594594
S371,Soil,137,15,152,0.9013157894736842,0.09868421052631579
S372,Air,66,101,167,0.39520958083832336,0.6047904191616766
S373,Plant,75,83,158,0.47468354430379744,0.5253164556962026
S374,Plant,152,70,222,0.6846846846846847,0.3153153153153153
S375,Soil,118,144,262,0.45038167938931295,0.549618320610687
S376,Air,110,84,194,0.5670103092783505,0.4329896907216495
S377,Air,95,115,210,0.4523809523809524,0.5476190476190477
S378,Plant,89,106,195,0.4564102564102564,0.5435897435897435
S379,Water,98,97,195,0.5025641025641026,0.49743589743589745
S380,Soil,97,151,248,0.3911290322580645,0.6088709677419355
S381,Water,120,96,216,0.5555555555555556,0.4444444444444444
S382,Soil,151,66,217,0.695852534562212,0.30414746543778803
S383,Air,75,112,187,0.40106951871657753,0.5989304812834224
S384,Water,105,117,222,0.47297297297297297,0.527027027027027
S385,Plant,124,135,259,0.47876447876447875,0.5212355212355212
S386,Plant,92,142,234,0.39316239316239315,0.6068376068376068
S387,Plant,125,106,231,0.5411255411255411,0.4588744588744589
S388,Air,59,73,132,0.44696969696969696,0.553030303030303
S389,Plant,169,132,301,0.5614617940199336,0.43853820598006643
S390,Air,110,60,170,0.6470588235294118,0.35294117647058826
S391,Air,99,127,226,0.43805309734513276,0.5619469026548672
S392,Plant,79,103,182,0.4340659340659341,0.5659340659340659
S393,Plant,92,134,226,0.40707964601769914,0.5929203539823009
S394,Water,122,73,195,0.6256410256410256,0.37435897435897436
S395,Soil,172,115,287,0.5993031358885017,0.40069686411149824
S396,Soil,61,85,146,0.4178082191780822,0.5821917808219178
S397,Water,97,98,195,0.49743589743589745,0.5025641025641026
S398,Water,66,171,237,0.27848101265822783,0.7215189873417721
S399,Plant,64,142,206,0.3106796116504854,0.6893203883495146
S400,Plant,103,101,204,0.5049019607843137,0.4950980392156863
S401,Water,85,124,209,0.40669856459330145,0.5933014354066986
S402,Water,110,82,192,0.5729166666666666,0.4270833333333333
S403,Plant,121,105,226,0.5353982300884956,0.4646017699115044
S404,Air,62,38,100,0.62,0.38
S405,Soil,84,71,155,0.5419354838709678,0.45806451612903226
S406,Air,92,93,185,0.4972972972972973,0.5027027027027027
S407,Water,35,67,102,0.3431372549019608,0.6568627450980392
S408,Air,92,61,153,0.6013071895424836,0.39869281045751637
S409,Plant,62,171,233,0.26609442060085836,0.7339055793991416
S410,Air,93,110,203,0.458128078817734,0.541871921182266
S411,Air,99,92,191,0.518324607329843,0.4816753926701571
S412,Air,44,96,140,0.3142857142857143,0.6857142857142857
S413,Water,67,127,194,0.34536082474226804,0.654639175257732
S414,Air,112,100,212,0.5283018867924528,0.4716981132075472
S415,Plant,127,96,223,0.5695067264573991,0.4304932735426009
S416,Plant,157,73,230,0.6826086956521739,0.3173913043478261
S417,Water,111,89,200,0.555,0.445
S418,Air,80,94,174,0.45977011494252873,0.5402298850574713
S419,Water,72,151,223,0.32286995515695066,0.6771300448430493
S420,Water,62,142,204,0.30392156862745096,0.696078431372549
S421,Water,131,148,279,0.46953405017921146,0.5304659498207885
S422,Water,59,90,149,0.3959731543624161,0.6040268456375839
S423,Water,77,106,183,0.4207650273224044,0.5792349726775956
S424,Air,96,36,132,0.7272727272727273,0.2727272727272727
S425,Water,138,111,249,0.5542168674698795,0.4457831325301205
S426,Water,118,125,243,0.48559670781893005,0.51440329218107
S427,Water,96,96,192,0.5,0.5
S428,Water,119,75,194,0.6134020618556701,0.3865979381443299
S429,Water,158,92,250,0.632,0.368
S430,Plant,90,152,242,0.371900826446281,0.628099173553719
S431,Plant,134,99,233,0.575107296137339,0.4248927038626609
S432,Water,118,95,213,0.5539906103286385,0.4460093896713615
S433,Water,137,79,216,0.6342592592592593,0.36574074074074076
S434,Water,104,44,148,0.7027027027027027,0.2972972972972973
S435,Soil,79,125,204,0.3872549019607843,0.6127450980392157
S436,Plant,69,97,166,0.41566265060240964,0.5843373493975904
S437,Air,94,63,157,0.5987261146496815,0.4012738853503185
S438,Soil,70,102,172,0.4069767441860465,0.5930232558139535
S439,Plant,57,53,110,0.5181818181818182,0.4818181818181818
S440,Soil,170,41,211,0.8056872037914692,0.1943127962085308
S441,Plant,72,79,151,0.4768211920529801,0.5231788079470199
S442,Air,85,89,174,0.4885057471264368,0.5114942528735632
S443,Soil,104,71,175,0.5942857142857143,0.4057142857142857
S444,Soil,154,76,230,0.6695652173913044,0.33043478260869563
S445,Plant,120,91,211,0.5687203791469194,0.4312796208530806
S446,Plant,142,80,222,0.6396396396396397,0.36036036036036034
S447,Air,105,91,196,0.5357142857142857,0.4642857142857143
S448,Plant,101,97,198,0.51010101010101,0.4898989898989899
S449,Water,106,67,173,0.6127167630057804,0.3872832369942196
S450,Plant,137,76,213,0.6431924882629108,0.3568075117370892
S451,Water,73,114,187,0.39037433155080214,0.6096256684491979
S452,Soil,82,63,145,0.5655172413793104,0.43448275862068964
S453,Soil,128,109,237,0.540084388185654,0.459915611814346
S454,Plant,142,70,212,0.6698113207547169,0.330188679245283
S455,Plant,56,73,129,0.43410852713178294,0.5658914728682171
S456,Water,85,118,203,0.4187192118226601,0.5812807881773399
S457,Air,115,70,185,0.6216216216216216,0.3783783783783784
S458,Plant,118,120,238,0.4957983193277311,0.5042016806722689
S459,Water,136,139,275,0.49454545454545457,0.5054545454545455
S460,Plant,143,85,228,0.6271929824561403,0.37280701754385964
S461,Water,88,166,254,0.3464566929133858,0.6535433070866141
S462,Soil,133,99,232,0.5732758620689655,0.4267241379310345
S463,Water,74,128,202,0.36633663366336633,0.6336633663366337
S464,Water,132,84,216,0.6111111111111112,0.3888888888888889
S465,Water,95,93,188,0.5053191489361702,0.4946808510638298
